marketid,marketname,timeslice,renewalconversion,yoyrenewalconversionchange,newleaseratechange,renewalleaseratechange,combinedratechange,newleaseterm,renewalleaseterm,averagevacantdays,medianrenttoincomeratio,yoyexecutednewleasecountchange,yoyexecutedrenewalleasecountchange,yoyleadschangepercent,leadsperunit
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M01,0.5742779783393501,0.047765369268490065,0.18547751952403624,0.12017715740692889,0.14465912364461161,12.57057256990679,11.888757396449703,30.767021276595745,0.25739745410717435,-0.21933471933471943,0.07455094579558097,0.03568077241691276,0.6319389717239857
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M02,0.596454734557294,0.03094671316691966,0.17732462282231587,0.1245952821529208,0.14378335770831374,12.575236836307557,11.933699199050727,29.645967741935483,0.24444711540109149,-0.10491027410767101,0.033890507590860285,0.011757274490928499,0.6011096050184409
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M03,0.5776849143334726,0.028186220256465222,0.18474090623851183,0.1318101139179028,0.15389251935935466,12.562724014336917,11.995513970776724,28.12751269035533,0.2575134996284514,-0.14304519526107948,-0.010651787978696335,-0.06224750969295945,0.7209910790278347
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M04,0.5620828870396308,0.004259169368149074,0.1845160489167065,0.13595940758715175,0.15714615437618626,12.519377330955084,12.04172461752434,27.014705882352942,0.2397357563564009,-0.08866558297620804,-0.03593456690801828,-0.16593364280306824,0.648928241361834
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M05,0.5486417964505614,-0.007007122654167031,0.18800778902114484,0.13714645497469088,0.15916289898258384,12.451524806554392,11.989046701974,26.092738407699038,0.2347743588092508,-0.050288184438040374,0.03979974968710885,-0.17793601928082883,0.6705124765226724
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M06,0.5610218215079054,0.0029929914710297156,0.19462008749952356,0.13504511304603353,0.15924064587339287,12.276323706377857,12.100760654371157,25.553692411924118,0.2507613334843179,-0.04386595714080247,0.024335574767851555,-0.22395160127991068,0.6494292451845822
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M07,0.5842690504742178,-0.016349408136628996,0.1773583324957554,0.13472450271034161,0.14954646787268863,12.15685379583143,12.021931296855769,25.893997224149896,0.2343922285656802,0.024310425432444993,-0.06604660884104914,-0.23798174900186347,0.628981665743961
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M08,0.5720920413763986,-0.03778520669668162,0.13723556068408746,0.12975862961559032,0.13226873615361967,12.191353996737357,12.010455169500474,27.224021838034577,0.23663826170213012,0.16606429522541374,-0.0241162527053489,-0.16729086795151296,0.6262352703909648
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M09,0.555001295672454,-0.05789320997058167,0.10355532536414744,0.12255225067993684,0.11585288324813688,12.340669676448458,11.981979594540878,29.571796522858982,0.24851957201501154,0.213144682793245,-0.15515504309862307,-0.152233918302931,0.5521910743611167
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M10,0.556953044375645,-0.040810354133287374,0.07355413327985388,0.11631592846140142,0.10036873822686827,12.590477775928084,12.02943919008925,31.991251944012443,0.248021710559513,0.25459482038429415,-0.053819006806150774,-0.1778492904500732,0.5067882657973786
