marketid,submarketid,geographyname,timeslice,renewalconversion,yoyrenewalconversionchange,signedrenewalleasesperunit,yoyexecutedrenewalleasecountchange,newleaseratechange,renewalleaseratechange,combinedratechange,averagemonthlyincome,newleaseterm,renewalleaseterm,averagevacantdays,newleaseapplicationsperunit,yoyexecutednewleasecountchange,yoyleadschangepercent,leadsperunit,medianrenttoincomeratio,rentroll,yoyrentrollchange,revenue,yoyrevenuechange
12060,2,Midtown Atlanta,Y2022M01,0.45,0.06649484536082473,0.032459266802443994,0.19158878504672905,0.10964809495020722,0.10879360757022957,0.10923146879747882,null,12.728571428571428,12.36078431372549,27.46090534979424,0.035641547861507125,-0.2473118279569893,0.13284433577832103,0.8950418544752092,null,2.184808461820426,0.054966543291487396,2.0596386387206445,0.07785636366273725
12060,2,Midtown Atlanta,Y2022M02,0.4832347140039448,0.07685173528054057,0.03182281059063136,0.09170305676855905,0.12797446099805973,0.10046460111870241,0.11325895049479899,null,13.10820895522388,12.34,27.023364485981308,0.03411405295315682,0.026819923371647538,0.15884773662551446,0.9066323245331617,null,2.1980543965430805,0.06382520826152367,2.0673002760998127,0.08276597116833548
12060,2,Midtown Atlanta,Y2022M03,0.46107784431137727,0.06068721931137727,0.032459266802443994,-0.03409090909090915,0.12669914718488157,0.10801341462521592,0.11783453804463014,null,12.854368932038835,12.564705882352941,26.864864864864863,0.03933299389002037,-0.13927576601671304,0.42326559215136644,1.3077913715389569,null,2.2133093747530643,0.07147177378251081,2.087840491516584,0.09358115036841795
12060,2,Midtown Atlanta,Y2022M04,0.4709897610921502,0.0546261247285138,0.03551820728291317,0.3045267489711935,0.14677700745181765,0.10713599399574791,0.1294161075689246,null,12.940639269406393,12.305993690851736,24.506493506493506,0.04907563025210084,-0.03736263736263739,-0.2588807785888078,0.9806825499034127,null,2.261449773379695,0.07467251904001586,2.1302316295938306,0.096635067810313
12060,2,Midtown Atlanta,Y2022M05,0.3862433862433862,-0.024525844525844553,0.03607843137254902,0.19702602230483263,0.1520652268827674,0.10591215706048482,0.13374118400161344,null,12.655172413793103,11.909937888198758,21.618266978922716,0.05523809523809524,-0.025691699604743223,-0.2756756756756757,0.9491307147456536,null,2.2796605649097303,0.08278954994826526,2.137579989240773,0.09420026426165225
12060,2,Midtown Atlanta,Y2022M06,0.46455696202531643,0.0998681052959387,0.0453781512605042,-0.05813953488372094,0.15642078832707995,0.11301752592070667,0.13669019299986487,null,12.464929859719438,12.170370370370371,20.747228381374722,0.05591036414565826,-0.0976491862567812,-0.29345703124999994,0.9317450096587251,null,2.3033155701993584,0.09113417378359505,2.1689814694597134,0.09817727470582276
12060,2,Midtown Atlanta,Y2022M07,0.47317596566523606,0.013526842858218535,0.04826815642458101,0.11917098445595854,0.14793000633817546,0.1156277144372727,0.13063444762678236,null,12.60722891566265,12.430555555555555,21.288659793814432,0.04636871508379888,-0.1782178217821782,-0.19318181818181818,1.0952127659574469,null,2.410554587171981,0.09773447871494188,2.276962619544799,0.10039567752906473
12060,2,Midtown Atlanta,Y2022M08,0.4911297852474323,0.0019686165386669785,0.04983240223463687,0.05188679245283019,0.10964070773537121,0.10109026487983096,0.10415861662279396,null,12.687116564417177,12.24439461883408,22.613114754098362,0.03642458100558659,-0.20681265206812652,-0.32653061224489793,0.9127659574468086,null,2.447239849233572,0.10533314475354721,2.309835292802365,0.10071235586879115
12060,2,Midtown Atlanta,Y2022M09,0.47453703703703703,-0.0092952982923043,0.03653631284916201,0.009259259259259259,0.06615366306044283,0.09412548484782994,0.08397707620300529,null,13.018450184501845,12.027522935779816,25.77777777777778,0.030279329608938546,-0.14779874213836477,-0.3489963503649634,0.7590425531914894,null,2.4753542144443004,0.10809377250186387,2.315908756773671,0.08918208687115155
12060,2,Midtown Atlanta,Y2022M10,0.47674418604651164,-0.0006220690975212717,0.02825644867815477,-0.1483870967741936,0.006349339314709928,0.08671228139843622,0.05021328739739269,null,12.997118155619596,12.454545454545455,31.95886075949367,0.03714010489136252,0.16053511705685625,-0.24085365853658533,0.7946808510638298,null,2.484016059307984,0.10095536798468763,2.2967636836440515,0.08047324665411171
